country,origin_airport,origin_name,origin_city,origin_type,origin_is_hub,destination_airport,destination_name,destination_city,destination_type,destination_is_hub,distance_km
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,DCA,Ronald Reagan Washington National Airport,Washington,large_airport,False,2708.13
US,DCA,Ronald Reagan Washington National Airport,Washington,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2708.13
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,DEN,Denver International Airport,Denver,large_airport,False,340.82
US,DEN,Denver International Airport,Denver,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,340.82
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,DTW,Detroit Metropolitan Wayne County Airport,Detroit,large_airport,False,2142.79
US,DTW,Detroit Metropolitan Wayne County Airport,Detroit,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2142.79
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,EWR,Newark Liberty International Airport,Newark,large_airport,False,2917.21
US,EWR,Newark Liberty International Airport,Newark,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2917.21
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,large_airport,False,3010.34
US,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,3010.34
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,HNL,Daniel K Inouye International Airport,"Honolulu, Oahu",large_airport,False,5069.49
US,HNL,Daniel K Inouye International Airport,"Honolulu, Oahu",large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,5069.49
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,IAD,Washington Dulles International Airport,Dulles,large_airport,False,2670.68
US,IAD,Washington Dulles International Airport,Dulles,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2670.68
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,IAH,George Bush Intercontinental Houston Airport,Houston,large_airport,False,1575.57
US,IAH,George Bush Intercontinental Houston Airport,Houston,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1575.57
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,IND,Indianapolis International Airport,Indianapolis,large_airport,False,1906.15
US,IND,Indianapolis International Airport,Indianapolis,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1906.15
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,JAX,Jacksonville International Airport,Jacksonville,large_airport,False,2619.69
US,JAX,Jacksonville International Airport,Jacksonville,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2619.69
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,LAS,Harry Reid International Airport,Las Vegas,large_airport,False,674.16
US,LAS,Harry Reid International Airport,Las Vegas,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,674.16
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,LGA,LaGuardia Airport,New York,large_airport,False,2940.63
US,LGA,LaGuardia Airport,New York,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2940.63
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MCI,Kansas City International Airport,Kansas City,large_airport,False,1189.27
US,MCI,Kansas City International Airport,Kansas City,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1189.27
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MCO,Orlando International Airport,Orlando,large_airport,False,2768.35
US,MCO,Orlando International Airport,Orlando,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2768.35
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MDW,Chicago Midway International Airport,Chicago,large_airport,False,1778.08
US,MDW,Chicago Midway International Airport,Chicago,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1778.08
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MEM,Memphis International Airport,Memphis,large_airport,False,1703.79
US,MEM,Memphis International Airport,Memphis,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1703.79
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MKE,General Mitchell International Airport,Milwaukee,large_airport,False,1776.95
US,MKE,General Mitchell International Airport,Milwaukee,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1776.95
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,large_airport,False,1414.31
US,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1414.31
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MSY,Louis Armstrong New Orleans International Airport,New Orleans,large_airport,False,1951.61
US,MSY,Louis Armstrong New Orleans International Airport,New Orleans,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1951.61
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,OAK,San Francisco Bay Oakland International Airport,Oakland,large_airport,False,1201.79
US,OAK,San Francisco Bay Oakland International Airport,Oakland,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1201.79
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,OGG,Kahului International Airport,Kahului,large_airport,False,4969.22
US,OGG,Kahului International Airport,Kahului,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,4969.22
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,OKC,Will Rogers World Airport,Oklahoma City,large_airport,False,1051.78
US,OKC,Will Rogers World Airport,Oklahoma City,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1051.78
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,OMA,Eppley Airfield,Omaha,large_airport,False,1098.76
US,OMA,Eppley Airfield,Omaha,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1098.76
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,ONT,Ontario International Airport,Ontario,large_airport,False,986.02
US,ONT,Ontario International Airport,Ontario,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,986.02
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,ORF,Norfolk International Airport,Norfolk,large_airport,False,2828.16
US,ORF,Norfolk International Airport,Norfolk,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2828.16
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,PBI,Palm Beach International Airport,West Palm Beach,large_airport,False,2975.66
US,PBI,Palm Beach International Airport,West Palm Beach,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2975.66
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,PDX,Portland International Airport,Portland,large_airport,False,1358.16
US,PDX,Portland International Airport,Portland,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1358.16
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,PHL,Philadelphia International Airport,Philadelphia,large_airport,False,2840.78
US,PHL,Philadelphia International Airport,Philadelphia,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2840.78
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,PHX,Phoenix Sky Harbor International Airport,Phoenix,large_airport,False,705.26
US,PHX,Phoenix Sky Harbor International Airport,Phoenix,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,705.26
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,PIT,Pittsburgh International Airport,Pittsburgh,large_airport,False,2411.43
US,PIT,Pittsburgh International Airport,Pittsburgh,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2411.43
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,PVD,Theodore Francis Green State Airport,Warwick,large_airport,False,3129.62
US,PVD,Theodore Francis Green State Airport,Warwick,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,3129.62
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,PWM,Portland International Jetport,Portland,large_airport,False,3199.06
US,PWM,Portland International Jetport,Portland,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,3199.06
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,RDU,Raleigh Durham International Airport,Raleigh/Durham,large_airport,False,2636.46
US,RDU,Raleigh Durham International Airport,Raleigh/Durham,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2636.46
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,RIC,Richmond International Airport,Richmond,large_airport,False,2715.43
US,RIC,Richmond International Airport,Richmond,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2715.43
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,RNO,Reno Tahoe International Airport,Reno,large_airport,False,967.13
US,RNO,Reno Tahoe International Airport,Reno,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,967.13
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,RSW,Southwest Florida International Airport,Fort Myers,large_airport,False,2850.82
US,RSW,Southwest Florida International Airport,Fort Myers,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2850.82
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,SAN,San Diego International Airport,San Diego,large_airport,False,1054.22
US,SAN,San Diego International Airport,San Diego,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1054.22
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,SAT,San Antonio International Airport,San Antonio,large_airport,False,1409.11
US,SAT,San Antonio International Airport,San Antonio,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1409.11
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,SAV,Savannah Hilton Head International Airport,Savannah,large_airport,False,2578.18
US,SAV,Savannah Hilton Head International Airport,Savannah,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2578.18
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,SDF,Louisville Muhammad Ali International Airport,Louisville,large_airport,False,1977.01
US,SDF,Louisville Muhammad Ali International Airport,Louisville,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1977.01
